Model,Accuracy,Mean Accuracy,Std. Deviation
Logistic Regression,0.95,0.95,0.04082482904638632
K-Nearest Neighbors,0.925,0.925,0.06666666666666667
Naive Bayes,0.95,0.95,0.0311804782231162
Support Vector Machine,0.9416666666666668,0.9416666666666668,0.042491829279939886
Decision Tree,0.9416666666666668,0.9416666666666668,0.042491829279939886
Random Forest,0.9333333333333332,0.9333333333333332,0.042491829279939886
